Travelling Companion,Continent,Country,Year,Percentage
WITH FRIENDS,Asia,Taiwan,2017,5.15994
WITH BUSINESS ASSOCIATE,Asia,Taiwan,2017,0.16645
WITH INCENTIVE GROUP,Asia,Taiwan,2017,0.332899
OTHERS,Asia,Taiwan,2017,0.665799
ALONE,Asia,India,2016,5.91716
WITH SPOUSE,Asia,India,2016,30.0789
WITH CHILDREN,Asia,India,2016,1.28205
WITH FAMILY/RELATIVES,Asia,India,2016,44.2801
STUDENT GROUP,Asia,India,2016,0
WITH FRIENDS,Asia,India,2016,12.1302
WITH BUSINESS ASSOCIATE,Asia,India,2016,3.25444
WITH INCENTIVE GROUP,Asia,India,2016,1.47929
OTHERS,Asia,India,2016,1.57791
ALONE,Asia,India,2017,4.79297
WITH SPOUSE,Asia,India,2017,23.8761
WITH CHILDREN,Asia,India,2017,0.485503
WITH FAMILY/RELATIVES,Asia,India,2017,53.01
STUDENT GROUP,Asia,India,2017,0.0082745
WITH FRIENDS,Asia,India,2017,11.2719
WITH BUSINESS ASSOCIATE,Asia,India,2017,2.07627
WITH INCENTIVE GROUP,Asia,India,2017,2.87992
OTHERS,Asia,India,2017,1.59904
ALONE,Asia,Pakistan,2016,12.25
WITH SPOUSE,Asia,Pakistan,2016,21.25
WITH CHILDREN,Asia,Pakistan,2016,1.25
WITH FAMILY/RELATIVES,Asia,Pakistan,2016,28.25
STUDENT GROUP,Asia,Pakistan,2016,2.5
WITH FRIENDS,Asia,Pakistan,2016,16.5
WITH BUSINESS ASSOCIATE,Asia,Pakistan,2016,8
WITH INCENTIVE GROUP,Asia,Pakistan,2016,9
OTHERS,Asia,Pakistan,2016,1
ALONE,Asia,Pakistan,2017,6.35019
WITH SPOUSE,Asia,Pakistan,2017,20.2601
WITH CHILDREN,Asia,Pakistan,2017,0.60478
WITH FAMILY/RELATIVES,Asia,Pakistan,2017,31.6198
STUDENT GROUP,Asia,Pakistan,2017,1.81434
WITH FRIENDS,Asia,Pakistan,2017,16.3691
WITH BUSINESS ASSOCIATE,Asia,Pakistan,2017,6.35019
WITH INCENTIVE GROUP,Asia,Pakistan,2017,15.1195
OTHERS,Asia,Pakistan,2017,1.51195
